method,split,layer,top1,top5,mrr
explicit_final_subtoken_embedding,validation,18,0.10546875,nan,nan
implicit_token_lens,test,18,0.146484375,0.25,0.21365416610805835
ridge_to_final_implicit_lens,test,18,0.03125,0.1171875,0.08882068371218667
raw_final_prototype,test,18,0.072265625,0.20703125,0.1495251327240581
mean_subtoken_embedding,test,18,0.025390625,0.103515625,0.07848348838611743
explicit_final_subtoken_embedding,test,18,0.115234375,nan,nan
implicit_token_lens,validation,19,0.140625,0.2734375,0.21017794250369254
ridge_to_final_implicit_lens,validation,19,0.05859375,0.12109375,0.10501994507216492
raw_final_prototype,validation,19,0.06640625,0.25,0.16120183585662531
mean_subtoken_embedding,validation,19,0.03125,0.1015625,0.07733934610037847
explicit_final_subtoken_embedding,validation,19,0.1015625,nan,nan
implicit_token_lens,test,19,0.142578125,0.26171875,0.21494524487423672
ridge_to_final_implicit_lens,test,19,0.03515625,0.11328125,0.09277950799448317
raw_final_prototype,test,19,0.0859375,0.220703125,0.1597755426528687
mean_subtoken_embedding,test,19,0.03125,0.103515625,0.08196986099867537
explicit_final_subtoken_embedding,test,19,0.123046875,nan,nan
implicit_token_lens,validation,20,0.14453125,0.28515625,0.2166408965078004
ridge_to_final_implicit_lens,validation,20,0.05078125,0.12109375,0.10220832051871452
raw_final_prototype,validation,20,0.09765625,0.25390625,0.18247084319188403
mean_subtoken_embedding,validation,20,0.0234375,0.10546875,0.07410248738761098
explicit_final_subtoken_embedding,validation,20,0.109375,nan,nan
implicit_token_lens,test,20,0.142578125,0.2578125,0.21369959445243297
ridge_to_final_implicit_lens,test,20,0.03515625,0.125,0.09420128196977356
raw_final_prototype,test,20,0.09375,0.232421875,0.17163727475965457
mean_subtoken_embedding,test,20,0.033203125,0.111328125,0.08721501683998664
explicit_final_subtoken_embedding,test,20,0.138671875,nan,nan
implicit_token_lens,validation,21,0.14453125,0.2890625,0.22438083979713885
ridge_to_final_implicit_lens,validation,21,0.05859375,0.1171875,0.10596284876480394
raw_final_prototype,validation,21,0.1015625,0.26953125,0.19282115509712533
mean_subtoken_embedding,validation,21,0.03515625,0.1171875,0.08934971570923347
explicit_final_subtoken_embedding,validation,21,0.1171875,nan,nan
implicit_token_lens,test,21,0.15625,0.296875,0.23481872750262955
ridge_to_final_implicit_lens,test,21,0.0390625,0.13671875,0.10000736131409182
raw_final_prototype,test,21,0.119140625,0.263671875,0.20105495242233057
mean_subtoken_embedding,test,21,0.037109375,0.130859375,0.09539969341940245
explicit_final_subtoken_embedding,test,21,0.126953125,nan,nan
implicit_token_lens,validation,22,0.140625,0.28125,0.21662716712573366
ridge_to_final_implicit_lens,validation,22,0.05078125,0.109375,0.10253682192819112
raw_final_prototype,validation,22,0.11328125,0.30078125,0.2083457487074058
mean_subtoken_embedding,validation,22,0.04296875,0.1328125,0.09953426738242793
explicit_final_subtoken_embedding,validation,22,0.10546875,nan,nan
implicit_token_lens,test,22,0.162109375,0.302734375,0.24212134446960593
ridge_to_final_implicit_lens,test,22,0.0390625,0.134765625,0.09953709255520701
raw_final_prototype,test,22,0.140625,0.296875,0.22041527659871757
mean_subtoken_embedding,test,22,0.052734375,0.15625,0.11694348343990627
explicit_final_subtoken_embedding,test,22,0.125,nan,nan
implicit_token_lens,validation,23,0.13671875,0.2421875,0.2049365682422958
ridge_to_final_implicit_lens,validation,23,0.05859375,0.109375,0.10511483565861549
raw_final_prototype,validation,23,0.0859375,0.23828125,0.17037125247468543
mean_subtoken_embedding,validation,23,0.046875,0.13671875,0.10509563661412896
explicit_final_subtoken_embedding,validation,23,0.1015625,nan,nan
implicit_token_lens,test,23,0.15234375,0.2890625,0.22959354996261194
ridge_to_final_implicit_lens,test,23,0.03515625,0.126953125,0.0972313239608426
raw_final_prototype,test,23,0.12109375,0.248046875,0.19523693185842467
mean_subtoken_embedding,test,23,0.05078125,0.1484375,0.10873069046203757
explicit_final_subtoken_embedding,test,23,0.099609375,nan,nan
implicit_token_lens,validation,24,0.04296875,0.1328125,0.1055916392154669
ridge_to_final_implicit_lens,validation,24,0.046875,0.08203125,0.08509528563350682
raw_final_prototype,validation,24,0.04296875,0.1328125,0.1055916392154669
mean_subtoken_embedding,validation,24,0.03125,0.1328125,0.09330881600451163
explicit_final_subtoken_embedding,validation,24,0.1015625,nan,nan
implicit_token_lens,test,24,0.060546875,0.13671875,0.11463376327256264
ridge_to_final_implicit_lens,test,24,0.021484375,0.087890625,0.07181399608042716
raw_final_prototype,test,24,0.060546875,0.13671875,0.11463376327256264
mean_subtoken_embedding,test,24,0.041015625,0.154296875,0.10760136639275769
explicit_final_subtoken_embedding,test,24,0.103515625,nan,nan
majority_word,validation,-1,0.0078125,nan,nan
final_subtoken_majority,validation,-1,0.125,nan,nan
majority_word,test,-1,0.0078125,nan,nan
final_subtoken_majority,test,-1,0.125,nan,nan
